JMJD4 KRAS
KRAS BTBD9
KRAS DOCK10
KRAS LIPG
KRAS SULT1B1
KRAS UTP4
KRAS FBXW7
KRAS RFC3
KRAS MRPL30
KRAS RFC5
KRAS XRCC1
KRAS XPO1
KRAS NGLY1
KRAS BFAR
KRAS MRPL23
KRAS RPL30
KRAS KMT2E
KRAS METTL14
KRAS ITFG1
KRAS SULT1A2
KRAS QARS1
KRAS SRMS
KRAS NQO2
KRAS KCNMA1
KRAS AMPH
KRAS GIMAP2
KRAS HKDC1
KRAS TMEM30B
KRAS SHCBP1L
KRAS TMED8
KRAS MFHAS1
KRAS CACNA2D2
KRAS GOSR1
KRAS ADAM10
KRAS DHX30
KRAS ZNF579
KRAS ACOT11
KRAS TBX20
KRAS CDKL3
KRAS SRPK3
KRAS NSA2
KRAS G3BP1
KRAS GNL3L
KRAS NECAB2
KRAS ENPP4
KRAS BTN2A2
KRAS ZC3HAV1L
KRAS FEZ2
KRAS TTC3
KRAS NCOR1
KRAS RPS12
KRAS RPS14
KRAS RPS15
KRAS INO80E
KRAS CLSTN3
KRAS ACVR2B
KRAS ACVRL1
KRAS ACTR2
KRAS ARPC3
KRAS DBT
KRAS HASPIN
KRAS ARHGAP24
KRAS SOCS2
KRAS POLDIP3
KRAS PIWIL4
KRAS CASS4
KRAS UPF1
KRAS CLU
KRAS POU2F2
KRAS CLIC1
KRAS CLK2
KRAS DDX21
KRAS USP25
KRAS POFUT1
KRAS NCOA6
KRAS GMPPB
KRAS LRRC39
KRAS CBS
KRAS PPFIA1
KRAS DCDC2
KRAS SHKBP1
KRAS SLC25A1
KRAS RGS5
KRAS NOL6
KRAS KIF11
KRAS HSFX1
KRAS TTC27
KRAS DRAM1
KRAS WDR3
KRAS RGCC
KRAS KLF3
KRAS YES1
KRAS NEDD8
KRAS SLC15A3
KRAS CCNA2
KRAS ERGIC2
KRAS UBE2Z
KRAS PACC1
KRAS RPL18A
KRAS TMED10
KRAS ASCC3
KRAS NDUFV2
KRAS FERMT2
KRAS ZC3H10
KRAS KCNA10
KRAS KCNA5
KRAS TRERF1
KRAS GALNT15
KRAS TTLL3
KRAS SIRPA
KRAS ELL
KRAS SH3GLB1
KRAS JADE3
KRAS RAB22A
KRAS POLR1C
KRAS STARD7
KRAS KLB
KRAS BMPR1A
KRAS EPS8
KRAS EPRS1
KRAS ZFP2
KRAS GRAP2
KRAS ST7
KRAS POLR3F
KRAS UGT3A1
KRAS ADAM22
KRAS BASP1
KRAS EPB41L4B
KRAS ANAPC10
KRAS IKZF2
KRAS KNL1
KRAS SPC24
KRAS POLD3
KRAS FHIP1B
KRAS RPS17
KRAS CZIB
KRAS USP38
KRAS CCT2
KRAS UBE2E1
KRAS UBE2D1
KRAS CXCL16
KRAS UBE2I
KRAS GLT8D2
KRAS PROM1
KRAS CDCA3
KRAS GPX4
KRAS CAMKV
KRAS THRSP
KRAS THRA
KRAS PON2
KRAS VTI1A
KRAS SERPINB12
KRAS EFL1
KRAS CYLD
KRAS CIT
KRAS EMID1
KRAS RIOK1
KRAS KMT5B
KRAS TBK1
KRAS STOML3
KRAS UBQLN2
KRAS LRRN4CL
KRAS THOC1
KRAS NUP214
KRAS OLIG2
KRAS FGG
KRAS EIF2AK2
KRAS SPECC1
KRAS CRABP1
KRAS WWC1
KRAS KLRD1
KRAS LIN7C
KRAS ODAD1
KRAS MID1
KRAS MKI67
KRAS ZFP37
KRAS ARAF
KRAS AR
KRAS RPL39
KRAS OAF
KRAS S1PR5
KRAS KPRP
KRAS METAP2
KRAS THAP10
KRAS GPAT3
KRAS STAR
KRAS STAT1
KRAS CHD7
KRAS MVP
KRAS RSPH14
KRAS RAC1
KRAS INTU
KRAS ZNF777
KRAS RNF130
KRAS FIP1L1
KRAS TMEM177
KRAS KCTD3
KRAS COPS4
KRAS CWC22
KRAS PEAK1
KRAS LONRF3
KRAS ALMS1
KRAS AP2B1
KRAS TSPYL5
KRAS NF1
KRAS RPS4X
KRAS GLI3
KRAS RTN4RL2
KRAS CCDC120
KRAS BUB3
KRAS CCT3
KRAS BACH2
KRAS KDM5B
KRAS HBS1L
KRAS SLC7A5
KRAS PLK2
KRAS ETFBKMT
KRAS FADS2
KRAS GID8
KRAS ZNF608
KRAS RASL11A
KRAS ZFYVE16
KRAS IL10RA
KRAS C3orf33
KRAS FLYWCH1
KRAS HOXC11
KRAS DACH1
KRAS DAG1
KRAS MASTL
KRAS RAB33B
KRAS FCGBP
KRAS UNC80
KRAS C4orf46
KRAS ZBTB34
KRAS HSPD1
KRAS DNASE1L1
KRAS CRYL1
KRAS TAF15
KRAS NMI
KRAS METRNL
KRAS CMTR1
KRAS DYNLT3
KRAS PPP2R1B
KRAS PPP1R8
KRAS PRDM4
KRAS RCHY1
KRAS HAL
KRAS WAC
KRAS GPR61
KRAS PLEKHG4
KRAS A2ML1
KRAS ATL2
KRAS WDR83
KRAS MAP2K5
KRAS C2CD2
KRAS ADA2
KRAS ADGRA2
KRAS FIGN
KRAS ADAMTS18
KRAS SHE
KRAS ARL8A
KRAS KIT
KRAS NBEAL1
KRAS SCFD1
KRAS SRSF1
KRAS DENND5B
KRAS KMT2A
KRAS ZNF2
KRAS MED13L
KRAS ZFX
KRAS TMEM19
KRAS MINDY1
KRAS PCID2
KRAS XKR6
KRAS RPL34
KRAS SF3B6
KRAS NEFL
KRAS FLVCR2
KRAS RAB5B
KRAS UBXN2A
KRAS GC
KRAS SUGP1
KRAS ACSL4
KRAS MYBL2
KRAS MAP2K1
KRAS CTSB
KRAS SPINK2
KRAS NCKIPSD
KRAS PLIN2
KRAS CTC1
KRAS GLB1
KRAS SPATA17
KRAS RBBP6
KRAS ZNF383
KRAS ARHGAP36
KRAS PAFAH1B1
KRAS TMPRSS13
KRAS C18orf54
KRAS NOL3
KRAS KALRN
KRAS RREB1
KRAS DGLUCY
KRAS WWC2
KRAS PHC3
KRAS RPS25
KRAS TNRC18
KRAS SLC2A2
KRAS EIF4A3
KRAS NAV3
KRAS FBXW10
KRAS EFNB2
KRAS ADGRG1
KRAS U2AF1
KRAS CALR
KRAS CAMK2D
KRAS MPHOSPH6
KRAS USPL1
KRAS PI3
KRAS RNF41
KRAS SERPINB5
KRAS IREB2
KRAS RHBDL2
KRAS ANXA5
KRAS TBC1D8
KRAS SUV39H2
KRAS MDH1
KRAS MDH2
KRAS MPO
KRAS KIF2C
KRAS IL24
KRAS SKP1
KRAS HEATR1
KRAS HMBOX1
KRAS KIF5C
KRAS EXOSC8
